Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGP,TH,THA,THP,TW,TWA,TWP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FA
341,Montrezl Harrell,PF,22,HOU,29,1,10.0,1.4,2.2,.651,0.0,0.0,.000,1.4,2.2,.651,.651,0.8,1.4,.524,0.7,1.1,1.7,0.3,0.3,0.2,0.4,1.4,3.6,0
342,Darrun Hilliard,SF,22,DET,25,0,9.2,1.3,3.1,.423,0.4,1.1,.357,0.9,2.0,.460,.487,0.6,0.8,.667,0.2,0.8,1.0,0.6,0.2,0.0,0.6,0.8,3.6,0
343,Kendall Marshall,PG,24,PHI,17,5,13.0,1.4,3.9,.364,0.5,1.5,.346,0.9,2.4,.375,.432,0.3,0.5,.625,0.1,0.8,0.8,2.9,0.5,0.0,1.9,0.9,3.6,0
344,Salah Mejri,C,29,DAL,16,3,10.6,1.4,2.1,.647,0.0,0.0,.000,1.4,2.1,.647,.647,0.8,1.2,.684,1.2,1.9,3.1,0.1,0.2,0.6,0.6,1.4,3.6,0
345,Mike Muscala,PF,24,ATL,43,0,10.8,1.4,2.7,.509,0.2,0.8,.303,1.1,1.9,.590,.552,0.6,0.7,.806,0.6,1.5,2.1,0.6,0.2,0.4,0.6,1.4,3.6,0
346,Sasha Vujacic,SG,31,NYK,40,8,12.5,1.3,4.0,.319,0.6,1.9,.286,0.7,2.1,.349,.388,0.5,0.6,.760,0.4,1.6,2.0,1.2,0.5,0.1,0.7,1.2,3.6,1
347,Christian Wood,PF,20,PHI,14,0,8.1,1.4,3.1,.442,0.3,0.6,.444,1.1,2.4,.441,.488,0.6,0.9,.692,0.7,1.6,2.3,0.2,0.4,0.4,0.1,0.6,3.6,0
348,Jordan Adams,SG,21,MEM,2,0,7.5,1.0,3.0,.333,0.0,0.5,.000,1.0,2.5,.400,.333,1.5,2.5,.600,0.0,1.0,1.0,1.5,1.5,0.0,1.0,1.0,3.5,0
349,Seth Curry,PG,25,SAC,26,0,9.8,1.1,2.5,.446,0.5,1.2,.419,0.6,1.3,.471,.546,0.7,1.0,.760,0.1,0.7,0.8,0.7,0.4,0.0,0.5,0.6,3.5,1
350,Miles Plumlee,C,27,MIL,36,6,10.4,1.6,2.5,.626,0.0,0.0,.000,1.6,2.5,.626,.626,0.3,0.5,.579,1.2,1.6,2.8,0.2,0.3,0.8,0.5,1.1,3.5,1
351,Quincy Acy,PF,25,SAC,32,9,11.3,1.3,2.4,.538,0.2,0.4,.417,1.2,2.1,.561,.571,0.6,0.8,.760,1.2,1.6,2.8,0.3,0.3,0.4,0.3,1.3,3.4,1
352,Tarik Black,C,24,LAL,21,0,12.3,1.5,2.6,.564,0.0,0.0,.000,1.5,2.6,.564,.564,0.5,1.2,.400,1.1,3.0,4.1,0.2,0.3,0.4,0.5,2.1,3.4,1
353,Sean Kilpatrick,SG,26,DEN,8,0,10.3,1.0,2.6,.381,0.5,2.1,.235,0.5,0.5,1.000,.476,0.9,1.0,.875,0.3,0.5,0.8,0.4,0.3,0.0,0.5,0.9,3.4,0
354,Andre Miller,PG,39,MIN,26,0,10.8,1.4,2.2,.621,0.0,0.2,.250,1.3,2.1,.648,.629,0.6,0.7,.789,0.2,0.7,0.9,2.2,0.3,0.0,1.0,1.2,3.4,1
355,John Jenkins,SG,24,DAL,21,1,9.2,1.4,3.3,.414,0.1,0.9,.158,1.2,2.4,.510,.436,0.4,0.4,.889,0.2,0.9,1.0,0.4,0.1,0.0,0.5,0.5,3.3,0
356,James Jones,SF,35,CLE,36,0,9.5,1.1,2.8,.373,0.8,2.1,.355,0.3,0.7,.423,.505,0.4,0.6,.762,0.2,0.9,1.1,0.4,0.2,0.2,0.3,1.2,3.3,1
357,Thomas Robinson,PF,24,BRK,51,0,10.3,1.4,3.2,.438,0.0,0.0,.000,1.4,3.2,.438,.438,0.5,1.0,.490,1.4,2.5,4.0,0.3,0.4,0.6,0.7,1.2,3.3,1
358,Kevin Garnett,PF,39,MIN,38,38,14.6,1.4,3.0,.470,0.0,0.0,.000,1.4,3.0,.474,.470,0.4,0.6,.667,0.4,3.6,3.9,1.6,0.7,0.3,0.4,1.8,3.2,0
359,Chris Johnson,SF,25,UTA,47,1,12.6,1.1,2.8,.392,0.4,1.4,.299,0.7,1.3,.492,.469,0.6,0.7,.794,0.4,1.7,2.1,0.8,0.6,0.3,0.6,1.5,3.2,0
360,Johnny O'Bryant,PF,22,MIL,48,3,14.0,1.4,3.4,.410,0.0,0.0,1.000,1.4,3.3,.406,.413,0.5,0.7,.667,1.1,1.8,2.9,0.6,0.3,0.1,0.6,1.7,3.2,0
361,Tayshaun Prince,SF,35,MIN,55,43,21.0,1.5,3.2,.466,0.1,0.3,.200,1.4,2.9,.491,.474,0.1,0.2,.615,0.4,1.6,2.0,1.0,0.5,0.2,0.4,0.9,3.2,1
362,Rasual Butler,SF,36,SAS,39,0,9.9,1.2,2.5,.495,0.4,1.2,.333,0.8,1.3,.635,.572,0.3,0.4,.688,0.1,1.3,1.4,0.6,0.3,0.5,0.2,0.3,3.1,0
363,Kyle Singler,SF,27,OKC,45,1,13.0,1.1,2.9,.374,0.4,1.4,.313,0.6,1.5,.433,.450,0.4,0.7,.667,0.6,1.3,1.8,0.3,0.5,0.1,0.5,1.6,3.1,0
364,Thanasis Antetokounmpo,SF,23,NYK,2,0,3.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,.000,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0,0
365,Dewayne Dedmon,C,26,ORL,33,4,10.4,1.1,2.3,.480,0.0,0.0,.000,1.1,2.3,.480,.480,0.8,1.1,.730,0.9,2.3,3.2,0.2,0.3,0.8,0.5,1.8,3.0,1
366,Drew Gooden,PF,34,WAS,26,0,11.0,1.2,3.5,.341,0.3,1.3,.200,0.9,2.2,.429,.379,0.3,0.5,.667,1.0,2.1,3.2,0.5,0.3,0.4,0.5,1.4,3.0,0
367,Solomon Hill,SF,24,IND,33,1,11.5,1.1,2.9,.371,0.2,0.8,.179,0.9,2.1,.449,.397,0.6,0.7,.909,0.7,1.5,2.2,0.8,0.5,0.2,0.5,1.0,2.9,1
368,Luc Mbah a Moute,PF,29,LAC,54,40,16.4,1.1,2.7,.421,0.2,0.6,.387,0.9,2.1,.430,.462,0.5,0.8,.581,0.9,1.6,2.4,0.4,0.5,0.3,0.5,1.3,2.9,1
369,Ryan Hollins,C,31,TOT,19,3,10.8,1.1,1.9,.583,0.0,0.0,.000,1.1,1.9,.583,.583,0.6,0.8,.800,1.1,1.2,2.3,0.4,0.1,0.5,0.5,1.7,2.8,0
370,Cory Jefferson,PF,25,PHO,8,0,6.3,1.1,2.8,.409,0.0,0.1,.000,1.1,2.6,.429,.409,0.5,0.8,.667,0.8,1.3,2.0,0.0,0.0,0.1,0.0,1.0,2.8,0
371,Chris McCullough,PF,20,BRK,4,0,10.3,1.3,3.8,.333,0.3,1.0,.250,1.0,2.8,.364,.367,0.0,0.0,.000,0.5,0.5,1.0,0.0,0.5,0.3,0.8,1.5,2.8,0
372,Robert Sacre,C,26,LAL,18,1,12.8,1.1,2.7,.388,0.0,0.0,.000,1.1,2.7,.388,.388,0.7,1.2,.545,1.0,1.3,2.3,0.6,0.1,0.6,0.5,1.8,2.8,1
373,Justin Anderson,SG,22,DAL,35,1,8.4,1.0,2.5,.386,0.3,1.3,.250,0.7,1.3,.523,.449,0.4,0.6,.714,0.1,1.5,1.6,0.3,0.3,0.3,0.4,0.7,2.7,0
374,Caron Butler,SF,35,SAC,9,1,9.6,1.2,2.9,.423,0.1,0.9,.125,1.1,2.0,.556,.442,0.1,0.2,.500,0.3,0.9,1.2,0.3,0.6,0.0,0.2,0.8,2.7,1
375,Marcelo Huertas,PG,32,LAL,30,0,11.4,1.1,2.8,.393,0.3,1.0,.310,0.8,1.8,.436,.446,0.2,0.2,1.000,0.3,1.0,1.4,2.4,0.5,0.1,1.1,1.1,2.7,1
376,Jared Cunningham,SG,24,CLE,40,3,8.9,0.8,2.3,.352,0.3,0.8,.313,0.6,1.5,.373,.407,0.8,1.2,.625,0.1,0.7,0.7,0.5,0.3,0.1,0.5,0.9,2.6,0
377,R.J. Hunter,SG,22,BOS,26,0,9.7,1.0,3.0,.325,0.5,2.0,.235,0.5,1.0,.500,.403,0.2,0.2,.833,0.1,1.1,1.2,0.4,0.5,0.2,0.3,1.1,2.6,0
378,Kostas Papanikolaou,SF,25,DEN,26,6,11.3,0.9,2.5,.364,0.4,1.2,.313,0.5,1.3,.412,.439,0.3,0.5,.643,0.3,1.2,1.5,0.6,0.5,0.2,0.8,0.9,2.6,0
379,Adreian Payne,PF,24,MIN,35,2,9.5,1.1,2.7,.400,0.2,0.7,.333,0.9,2.0,.423,.442,0.2,0.3,.667,0.3,1.8,2.1,0.5,0.3,0.3,0.6,1.5,2.6,0
380,Damjan Rudez,SF,29,MIN,23,0,9.0,0.9,2.0,.444,0.6,1.5,.371,0.3,0.4,.700,.589,0.3,0.3,1.000,0.1,0.4,0.5,0.4,0.0,0.0,0.5,1.0,2.6,1
381,Anderson Varejao,C,33,CLE,31,0,10.0,1.0,2.5,.421,0.0,0.0,.000,1.0,2.4,.427,.421,0.5,0.7,.762,0.8,2.2,2.9,0.6,0.4,0.2,0.5,1.1,2.6,1
382,Rashad Vaughn,SG,19,MIL,49,0,12.1,0.9,3.1,.307,0.5,1.7,.313,0.4,1.4,.299,.393,0.2,0.2,.917,0.2,1.0,1.1,0.5,0.3,0.2,0.4,0.9,2.6,0
383,Sonny Weems,SG,29,PHO,34,0,12.2,1.0,2.6,.393,0.4,1.0,.394,0.6,1.6,.393,.466,0.2,0.4,.538,0.2,1.0,1.2,1.4,0.3,0.0,1.1,1.2,2.6,0
384,Lorenzo Brown,PG,25,PHO,8,0,7.6,1.0,3.1,.320,0.1,1.0,.125,0.9,2.1,.412,.340,0.4,0.5,.750,0.0,0.9,0.9,1.4,0.4,0.1,1.1,0.5,2.5,0
385,Tyler Ennis,PG,21,MIL,24,5,8.7,1.0,2.5,.400,0.2,0.6,.286,0.8,1.9,.435,.433,0.4,0.5,.750,0.1,0.9,1.0,1.0,0.3,0.0,0.6,1.0,2.5,0
386,Tyler Hansbrough,PF,30,CHO,31,0,9.1,0.8,1.9,.414,0.1,0.1,.667,0.7,1.8,.400,.431,0.8,1.5,.553,1.1,1.3,2.4,0.2,0.4,0.2,0.4,1.5,2.5,1
387,Lucas Nogueira,C,23,TOR,19,0,7.3,1.1,1.6,.667,0.1,0.1,.500,1.0,1.5,.679,.683,0.3,0.5,.667,0.5,0.8,1.4,0.2,0.5,0.3,0.3,1.0,2.5,0
388,Jeremy Evans,SF,28,DAL,30,2,8.4,0.9,1.6,.542,0.1,0.5,.250,0.7,1.1,.688,.583,0.5,0.7,.714,0.4,1.4,1.8,0.1,0.2,0.3,0.2,0.6,2.4,0
389,Justin Holiday,SG,26,ATL,26,1,10.1,0.9,2.8,.329,0.4,1.7,.222,0.5,1.1,.500,.397,0.2,0.4,.500,0.2,0.9,1.0,0.4,0.5,0.2,0.5,0.8,2.4,0
390,Ray McCallum,PG,24,SAS,28,3,9.0,1.0,2.3,.415,0.2,0.5,.333,0.8,1.8,.440,.454,0.3,0.4,.900,0.2,0.9,1.1,1.1,0.2,0.1,0.4,0.5,2.4,1
391,Lamar Patterson,SG,24,ATL,35,0,11.3,0.8,2.3,.350,0.3,1.4,.245,0.5,0.9,.516,.425,0.5,0.6,.727,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.4,0
392,Kendrick Perkins,C,31,NOP,12,3,9.5,1.2,1.4,.824,0.0,0.0,.000,1.2,1.4,.824,.824,0.1,0.3,.250,0.7,1.5,2.2,0.4,0.1,0.2,0.9,1.1,2.4,1
393,Matt Bonner,C,35,SAS,20,1,5.7,0.9,1.6,.548,0.5,0.9,.529,0.4,0.7,.571,.694,0.2,0.2,.750,0.2,0.8,0.9,0.3,0.3,0.0,0.1,0.4,2.3,1
394,Jarell Eddie,SF,24,WAS,18,0,5.0,0.7,2.2,.333,0.7,1.8,.375,0.1,0.4,.143,.487,0.2,0.2,1.000,0.1,0.7,0.7,0.1,0.1,0.1,0.1,0.2,2.3,0
395,James Michael McAdoo,PF,23,GSW,25,0,5.9,0.9,1.6,.550,0.0,0.0,.000,0.9,1.6,.550,.550,0.5,1.1,.481,0.6,0.7,1.3,0.4,0.3,0.2,0.4,0.7,2.3,1
396,Walter Tavares,C,23,ATL,10,0,6.9,1.0,1.8,.556,0.0,0.0,.000,1.0,1.8,.556,.556,0.3,0.8,.375,0.7,1.3,2.0,0.2,0.1,0.6,0.5,0.8,2.3,0
397,Lou Amundson,PF,33,NYK,22,0,7.4,0.9,2.0,.442,0.0,0.0,.000,0.9,2.0,.442,.442,0.5,1.0,.435,0.8,1.1,1.9,0.4,0.2,0.2,0.4,1.7,2.2,1
398,James Anderson,SG,26,SAC,32,7,11.3,0.8,2.5,.313,0.3,1.2,.263,0.5,1.3,.357,.375,0.3,0.4,.917,0.2,1.1,1.3,0.5,0.3,0.3,0.7,1.0,2.2,1
399,Nick Collison,PF,35,OKC,46,2,12.1,0.9,1.9,.455,0.0,0.0,.000,0.9,1.9,.465,.455,0.5,0.6,.724,1.2,1.7,2.9,0.7,0.3,0.3,0.7,1.9,2.2,0
400,Chris Kaman,C,33,POR,9,2,7.7,1.1,3.3,.333,0.0,0.3,.000,1.1,3.0,.370,.333,0.0,0.0,.000,0.3,0.9,1.2,0.6,0.0,0.0,0.6,0.8,2.2,1
401,Pablo Prigioni,PG,38,LAC,35,1,13.7,0.9,2.1,.405,0.4,1.3,.319,0.4,0.8,.556,.507,0.1,0.1,.750,0.7,1.3,2.0,2.1,1.0,0.0,0.9,1.4,2.2,1
402,Josh Richardson,SG,22,MIA,26,1,12.6,0.7,2.6,.284,0.3,1.1,.241,0.5,1.5,.316,.336,0.4,0.6,.688,0.2,1.2,1.3,0.8,0.4,0.3,0.5,1.5,2.2,0
403,DeJuan Blair,C,26,WAS,29,0,7.5,1.0,2.3,.412,0.0,0.0,.000,1.0,2.3,.418,.412,0.2,0.4,.385,0.7,1.3,2.0,0.4,0.3,0.1,0.5,1.8,2.1,0
404,Chris Copeland,PF,31,MIL,24,1,6.5,0.7,2.1,.333,0.4,1.5,.278,0.3,0.6,.467,.431,0.3,0.3,.857,0.0,0.4,0.4,0.5,0.1,0.0,0.3,0.7,2.1,0
405,Steve Novak,PF,32,TOT,8,0,3.1,0.8,1.6,.462,0.6,1.3,.500,0.1,0.4,.333,.654,0.0,0.0,.000,0.0,0.5,0.5,0.0,0.0,0.0,0.1,0.3,2.1,1
406,Jason Thompson,C,29,GSW,28,1,6.4,0.7,1.5,.476,0.0,0.0,.000,0.7,1.5,.476,.476,0.7,1.1,.625,0.4,1.6,1.9,0.7,0.1,0.3,0.3,1.4,2.1,0
407,Chris Andersen,C,37,TOT,9,1,6.2,0.7,1.3,.500,0.2,0.6,.400,0.4,0.8,.571,.583,0.4,0.7,.667,0.4,1.2,1.7,0.4,0.1,0.4,0.3,0.4,2.0,1
408,Chuck Hayes,C,32,HOU,2,0,12.0,0.5,1.0,.500,0.0,0.0,.000,0.5,1.0,.500,.500,1.0,1.0,1.000,0.0,4.0,4.0,1.0,0.0,0.0,1.5,3.0,2.0,0
409,Tibor Pleiss,C,26,UTA,12,0,6.8,0.9,2.1,.440,0.0,0.2,.000,0.9,1.9,.478,.440,0.2,0.2,1.000,0.5,0.8,1.3,0.2,0.1,0.2,0.7,1.6,2.0,0
410,Luis Montero,SG,22,POR,7,0,3.3,0.7,1.9,.385,0.1,0.7,.200,0.6,1.1,.500,.423,0.3,0.3,1.000,0.0,0.3,0.3,0.1,0.0,0.0,0.3,0.1,1.9,0
411,Kevon Looney,PF,19,GSW,4,0,4.8,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.0,0.0,.000,1.0,1.5,2.5,0.0,0.0,0.0,0.0,0.5,1.8,0
412,Jordan Mickey,PF,21,BOS,6,0,2.2,0.7,1.3,.500,0.0,0.0,.000,0.7,1.3,.500,.500,0.5,0.5,1.000,0.5,0.2,0.7,0.2,0.0,0.5,0.0,0.3,1.8,0
413,Elijah Millsap,SG,28,UTA,20,0,8.7,0.6,2.0,.282,0.1,0.6,.083,0.5,1.4,.370,.295,0.7,0.9,.722,0.3,1.5,1.8,1.0,0.4,0.2,0.5,1.7,1.8,0
414,Udonis Haslem,PF,35,MIA,27,0,8.0,0.6,1.7,.378,0.0,0.3,.143,0.6,1.4,.421,.389,0.4,0.4,.909,0.3,1.9,2.1,0.5,0.2,0.1,0.2,0.7,1.7,1
415,C.J. Wilcox,SG,25,LAC,11,0,4.3,0.6,2.1,.304,0.3,0.7,.375,0.4,1.4,.267,.370,0.2,0.3,.667,0.0,0.3,0.3,0.4,0.3,0.0,0.1,0.4,1.7,0
416,K.J. McDaniels,SG,22,HOU,18,0,4.1,0.5,1.6,.310,0.1,0.4,.250,0.4,1.2,.333,.345,0.4,0.6,.727,0.2,0.6,0.8,0.1,0.2,0.3,0.3,0.8,1.6,0
417,Elliot Williams,PG,26,MEM,5,0,9.0,0.4,2.0,.200,0.2,0.8,.250,0.2,1.2,.167,.250,0.6,0.8,.750,0.2,0.6,0.8,0.8,0.0,0.0,0.2,0.4,1.6,0
418,Cameron Bairstow,C,25,CHI,15,1,5.9,0.5,2.3,.235,0.0,0.3,.000,0.5,2.0,.267,.235,0.4,0.4,1.000,0.3,1.4,1.7,0.3,0.1,0.2,0.2,1.1,1.5,0
419,Anthony Bennett,PF,22,TOR,17,0,4.7,0.4,1.5,.280,0.1,0.8,.154,0.3,0.7,.417,.320,0.5,0.6,.900,0.4,1.0,1.4,0.0,0.3,0.0,0.2,0.5,1.5,1
420,Tim Frazier,PG,25,POR,35,1,7.8,0.6,1.7,.333,0.1,0.5,.176,0.5,1.2,.395,.358,0.2,0.4,.533,0.3,0.8,1.1,1.2,0.3,0.0,0.8,0.9,1.5,0
421,Terry Rozier,PG,21,BOS,20,0,5.6,0.6,2.5,.240,0.1,0.7,.154,0.5,1.9,.270,.260,0.2,0.2,1.000,0.4,0.6,1.0,0.7,0.0,0.0,0.5,0.6,1.5,0
422,Russ Smith,PG,24,MEM,15,0,4.4,0.5,1.5,.318,0.1,0.3,.200,0.4,1.1,.353,.341,0.5,0.9,.615,0.1,0.5,0.6,0.7,0.3,0.1,0.5,0.3,1.5,0
423,Cliff Alexander,PF,20,POR,7,0,4.4,0.7,1.4,.500,0.0,0.0,.000,0.7,1.4,.500,.500,0.0,0.0,.000,0.3,0.6,0.9,0.0,0.1,0.3,0.1,0.0,1.4,0
424,Erick Green,PG,24,TOT,9,0,4.7,0.6,1.4,.385,0.1,0.6,.200,0.4,0.9,.500,.423,0.2,0.2,1.000,0.3,0.3,0.7,0.3,0.1,0.0,0.0,0.4,1.4,0
425,Bryce Cotton,PG,23,PHO,3,0,11.0,0.7,2.7,.250,0.0,1.0,.000,0.7,1.7,.400,.250,0.0,0.0,.000,0.0,0.0,0.0,1.0,1.0,0.0,1.7,0.7,1.3,0
426,James Ennis,SF-PF,25,TOT,11,0,3.6,0.3,0.7,.375,0.2,0.5,.400,0.1,0.3,.333,.500,0.5,0.9,.600,0.2,0.3,0.5,0.3,0.4,0.2,0.2,0.2,1.3,0
427,Mitch McGary,PF,23,OKC,16,0,3.9,0.5,1.1,.471,0.0,0.2,.000,0.5,0.9,.571,.471,0.3,0.6,.400,0.3,0.8,1.0,0.2,0.1,0.1,0.4,0.6,1.3,0
428,Norman Powell,SG,22,TOR,25,4,6.3,0.6,2.1,.264,0.0,0.5,.077,0.5,1.6,.325,.274,0.1,0.2,.600,0.3,0.8,1.1,0.3,0.4,0.0,0.3,0.8,1.3,0
429,Keith Appling,PG,23,ORL,5,0,5.4,0.4,1.6,.250,0.0,0.6,.000,0.4,1.0,.400,.250,0.4,0.4,1.000,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2,0
430,Jeff Ayres,C,28,LAC,5,0,2.8,0.4,0.4,1.000,0.0,0.0,.000,0.4,0.4,1.000,1.000,0.4,0.4,1.000,0.2,0.4,0.6,0.4,0.0,0.6,0.2,0.4,1.2,0
431,Cristiano Felicio,C,23,CHI,10,0,4.0,0.4,0.6,.667,0.0,0.2,.000,0.4,0.4,1.000,.667,0.4,0.8,.500,0.3,0.6,0.9,0.8,0.1,0.1,0.1,0.6,1.2,0
432,Mike Miller,SF,35,DEN,39,1,8.2,0.4,1.2,.333,0.4,1.0,.350,0.1,0.2,.250,.479,0.0,0.0,.000,0.2,1.1,1.2,0.9,0.3,0.1,0.4,1.2,1.2,1
433,James Young,SG,20,BOS,22,0,7.5,0.5,1.4,.323,0.2,1.0,.238,0.2,0.5,.500,.403,0.0,0.2,.250,0.1,0.9,1.0,0.3,0.2,0.0,0.1,0.6,1.2,0
434,Sergey Karasev,SF,22,BRK,24,0,6.0,0.4,1.0,.375,0.1,0.5,.182,0.3,0.5,.538,.417,0.3,0.3,1.000,0.1,0.6,0.8,0.3,0.0,0.0,0.3,0.3,1.1,1
435,Jimmer Fredette,SG,26,TOT,5,0,3.0,0.4,1.0,.400,0.2,0.4,.500,0.2,0.6,.333,.500,0.0,0.0,.000,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.4,1.0,0
436,Damien Inglis,SF,20,MIL,8,0,5.3,0.3,1.0,.250,0.1,0.6,.200,0.1,0.4,.333,.313,0.4,0.5,.750,0.1,1.0,1.1,0.3,0.3,0.0,0.5,0.6,1.0,0
437,Jarell Martin,PF,21,MEM,2,0,4.5,0.5,2.5,.200,0.0,0.0,.000,0.5,2.5,.200,.200,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
438,Jodie Meeks,SG,28,DET,2,0,8.5,0.5,2.5,.200,0.0,0.0,.000,0.5,2.5,.200,.200,0.0,0.0,.000,0.5,0.5,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0
439,Alex Stepheson,PF,28,LAC,2,0,4.5,0.5,0.5,1.000,0.0,0.0,.000,0.5,0.5,1.000,1.000,0.0,0.0,.000,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.5,1.0,0
440,Jarnell Stokes,C,22,TOT,7,0,2.6,0.4,0.7,.600,0.0,0.0,.000,0.4,0.7,.600,.600,0.1,0.3,.500,0.1,0.4,0.6,0.1,0.1,0.0,0.0,0.1,1.0,0
441,Shayne Whittington,PF,24,IND,4,0,2.5,0.5,0.8,.667,0.0,0.0,.000,0.5,0.8,.667,.667,0.0,0.0,.000,0.3,0.5,0.8,0.5,0.3,0.3,0.5,0.8,1.0,0
442,Delon Wright,PG,23,TOR,15,0,2.9,0.3,1.1,.313,0.1,0.2,.667,0.2,0.9,.231,.375,0.2,0.4,.500,0.1,0.4,0.5,0.3,0.1,0.0,0.2,0.2,1.0,0
443,Eric Moreland,PF,24,SAC,5,0,4.8,0.4,0.6,.667,0.0,0.0,.000,0.4,0.6,.667,.667,0.0,0.4,.000,0.2,1.0,1.2,0.0,0.0,0.8,0.0,0.4,0.8,1
444,Joel Anthony,C,33,DET,13,0,4.0,0.2,0.4,.400,0.0,0.0,.000,0.2,0.4,.400,.400,0.4,0.5,.833,0.5,0.6,1.2,0.1,0.2,0.3,0.1,0.6,0.7,0
445,Branden Dawson,PF,22,LAC,3,0,4.7,0.3,1.0,.333,0.0,0.0,.000,0.3,1.0,.333,.333,0.0,0.0,.000,0.7,0.3,1.0,0.0,0.0,0.3,0.0,0.7,0.7,0
446,Cleanthony Early,SF,24,NYK,10,0,3.4,0.3,0.6,.500,0.1,0.4,.250,0.2,0.2,1.000,.583,0.0,0.0,.000,0.0,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.7,1
447,Sasha Kaun,C,30,CLE,13,0,3.7,0.2,0.4,.600,0.0,0.0,.000,0.2,0.4,.600,.600,0.2,0.5,.500,0.6,0.2,0.8,0.2,0.2,0.2,0.5,0.8,0.7,0
448,Joe Harris,SG,24,CLE,5,0,3.0,0.2,0.8,.250,0.2,0.8,.250,0.0,0.0,.000,.375,0.0,0.0,.000,0.0,0.6,0.6,0.4,0.0,0.0,0.2,0.2,0.6,0
449,Pat Connaughton,SG,23,POR,22,0,2.9,0.2,1.0,.182,0.1,0.5,.182,0.1,0.5,.182,.227,0.1,0.1,1.000,0.2,0.4,0.6,0.1,0.1,0.0,0.3,0.2,0.5,0
450,Aaron Harrison,SG,21,CHO,13,0,4.2,0.2,0.8,.200,0.1,0.2,.333,0.1,0.5,.143,.250,0.2,0.5,.333,0.2,0.4,0.6,0.0,0.3,0.0,0.2,0.2,0.5,0
451,Reggie Bullock,SF,24,DET,19,0,4.8,0.1,1.0,.053,0.1,0.5,.100,0.0,0.5,.000,.079,0.2,0.2,1.000,0.2,0.3,0.4,0.2,0.1,0.0,0.1,0.3,0.3,0
452,Devyn Marble,SG,23,ORL,8,0,2.5,0.1,0.8,.167,0.0,0.3,.000,0.1,0.5,.250,.167,0.0,0.1,.000,0.1,0.3,0.4,0.0,0.1,0.0,0.1,0.3,0.3,0
453,Bruno Caboclo,SF,20,TOR,3,0,1.3,0.0,0.7,.000,0.0,0.0,.000,0.0,0.7,.000,.000,0.0,0.0,.000,0.0,0.3,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0
454,Sam Dekker,SF,21,HOU,3,0,2.0,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,.000,0.0,0.0,.000,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0
455,J.J. O'Brien,SF,23,UTA,2,0,3.0,0.0,0.5,.000,0.0,0.0,.000,0.0,0.5,.000,.000,0.0,0.0,.000,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0
456,Nate Robinson,PG,31,NOP,2,1,11.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,.000,.000,0.0,0.0,.000,0.0,0.0,0.0,2.0,0.5,0.0,0.0,2.5,0.0,0
